Wavelength (nm);Intensity Source
904.835;4.639
905.137;4.614
905.439;4.590
905.741;4.419
906.043;4.541
906.345;4.443
906.647;4.541
906.948;4.517
907.250;4.370
907.552;4.419
907.853;4.565
908.155;4.492
908.457;4.395
908.758;4.468
909.059;4.541
909.361;4.565
909.662;4.565
909.963;4.565
910.264;4.370
910.566;4.541
910.867;4.517
911.168;4.443
911.469;4.541
911.769;4.858
912.070;4.541
912.371;4.419
912.672;4.443
912.972;4.443
913.273;4.565
913.574;4.468
913.874;4.492
914.175;4.541
914.475;4.492
914.775;4.419
915.076;4.492
915.376;4.419
915.676;4.541
915.976;4.541
916.276;4.541
916.576;4.468
916.876;4.517
917.176;4.590
917.476;4.541
917.776;4.590
918.075;4.565
918.375;4.517
918.675;4.492
918.974;4.419
919.274;4.468
919.573;4.468
919.872;4.346
920.172;4.346
920.471;4.443
920.770;4.541
921.069;4.370
921.368;4.565
921.667;4.565
921.966;4.443
922.265;4.419
922.564;4.443
922.863;4.443
923.162;4.395
923.460;4.395
923.759;4.565
924.058;4.541
924.356;4.541
924.655;4.565
924.953;4.541
925.251;4.443
925.550;4.468
925.848;4.370
926.146;4.492
926.444;4.468
926.742;4.370
927.040;4.468
927.338;4.395
927.636;4.517
927.934;4.541
928.232;4.443
928.530;4.614
928.827;4.468
929.125;4.468
929.422;4.590
929.720;4.468
930.017;4.541
930.315;4.517
930.612;4.492
