# lambda/AA  F/Fc
6598.3928 0.986046
6598.3912 0.985971
6598.3895 0.985835
6598.3879 0.985781
6598.3863 0.985673
6598.3846 0.985165
6598.3830 0.984441
6598.3813 0.983981
6598.3797 0.983896
6598.3781 0.984028
6598.3764 0.984173
6598.3748 0.984199
6598.3731 0.984133
6598.3715 0.983894
6598.3699 0.983434
6598.3682 0.983153
6598.3666 0.983221
6598.3649 0.983157
6598.3633 0.982875
6598.3617 0.982784
6598.3600 0.982794
6598.3584 0.982648
6598.3567 0.982525
6598.3551 0.982563
6598.3535 0.982689
6598.3518 0.982809
6598.3502 0.982769
6598.3485 0.982616
6598.3469 0.982585
6598.3453 0.982645
6598.3436 0.982680
6598.3420 0.982625
6598.3403 0.982315
6598.3387 0.982021
6598.3371 0.982269
6598.3354 0.982766
6598.3338 0.982994
6598.3321 0.983148
6598.3305 0.983327
6598.3289 0.983381
6598.3272 0.983575
6598.3256 0.983842
6598.3239 0.983673
6598.3223 0.983360
6598.3207 0.983453
6598.3190 0.983627
6598.3174 0.983560
6598.3157 0.983516
6598.3141 0.983545
6598.3125 0.983527
6598.3108 0.983678
6598.3092 0.984152
6598.3075 0.984682
6598.3059 0.984980
6598.3043 0.985167
6598.3026 0.985468
6598.3010 0.985725
6598.2993 0.985802
6598.2977 0.985958
6598.2960 0.986159
6598.2944 0.986060
6598.2928 0.985936
6598.2911 0.986212
6598.2895 0.986565
6598.2878 0.986638
6598.2862 0.986647
6598.2846 0.986831
6598.2829 0.987209
6598.2813 0.987626
6598.2796 0.987832
6598.2780 0.987967
6598.2764 0.988418
6598.2747 0.989034
6598.2731 0.989403
6598.2714 0.989566
6598.2698 0.989699
6598.2682 0.989743
6598.2665 0.989753
6598.2649 0.990011
6598.2632 0.990546
6598.2616 0.990932
6598.2600 0.990914
6598.2583 0.990909
6598.2567 0.991232
6598.2550 0.991532
6598.2534 0.991630
6598.2518 0.991820
6598.2501 0.992093
6598.2485 0.992273
6598.2468 0.992453
6598.2452 0.992594
6598.2436 0.992614
6598.2419 0.992791
6598.2403 0.993212
6598.2386 0.993589
6598.2370 0.993861
6598.2354 0.994053
6598.2337 0.994090
6598.2321 0.994172
6598.2304 0.994449
6598.2288 0.994686
6598.2272 0.994862
6598.2255 0.995171
6598.2239 0.995406
6598.2222 0.995307
6598.2206 0.995074
6598.2190 0.995076
6598.2173 0.995463
6598.2157 0.995939
6598.2140 0.995969
6598.2124 0.995607
6598.2108 0.995528
6598.2091 0.996000
6598.2075 0.996566
6598.2058 0.996755
6598.2042 0.996571
6598.2026 0.996352
6598.2009 0.996305
6598.1993 0.996346
6598.1976 0.996377
6598.1960 0.996378
6598.1944 0.996433
6598.1927 0.996758
6598.1911 0.997156
6598.1894 0.997048
6598.1878 0.996580
6598.1861 0.996450
6598.1845 0.996634
6598.1829 0.996769
6598.1812 0.996955
6598.1796 0.997157
6598.1779 0.997106
6598.1763 0.996922
6598.1747 0.996764
6598.1730 0.996627
6598.1714 0.996765
6598.1697 0.997195
6598.1681 0.997394
6598.1665 0.997193
6598.1648 0.996960
6598.1632 0.996825
6598.1615 0.996685
6598.1599 0.996647
6598.1583 0.996824
6598.1566 0.997042
6598.1550 0.997082
6598.1533 0.997003
6598.1517 0.996949
6598.1501 0.996878
6598.1484 0.996769
6598.1468 0.996669
6598.1451 0.996458
6598.1435 0.996164
6598.1419 0.996108
6598.1402 0.996270
6598.1386 0.996323
6598.1369 0.996266
6598.1353 0.996180
6598.1337 0.995944
6598.1320 0.995677
6598.1304 0.995632
6598.1287 0.995693
6598.1271 0.995602
6598.1255 0.995366
6598.1238 0.995240
6598.1222 0.995394
6598.1205 0.995524
6598.1189 0.995277
6598.1173 0.994938
6598.1156 0.994865
6598.1140 0.994888
6598.1123 0.994936
6598.1107 0.995104
6598.1091 0.995129
6598.1074 0.994919
6598.1058 0.994854
6598.1041 0.994951
6598.1025 0.994848
6598.1009 0.994586
6598.0992 0.994460
6598.0976 0.994536
6598.0959 0.994642
6598.0943 0.994591
